EventId,EventTemplate,Occurrences,IterationNumber
2b058272,"*{1,1} yes",153,1
232b7bf9,"*{1,1} CAVV *{1,1}",70,1
b00751c8,"*{1,1} XID *{1,1}",70,1
a9f8e352,"*{0,2} <*> *{0,6}",41,1
af26c3a4,"*{0,2} <*> *{0,11} <*> *{0,2}",13,1
aab8b970,"201800849755460 *{1,2}",4,2
7fd1dfa0,"Track ID *{1,1} Payment ID *{1,1} Parsing PARES. <ThreeDSecure><Message id *{1,1} id *{1,1} </xid><date>20180108 12 *{2,2} 07 *{2,2} </cavv><eci>02</eci><cavvAlgorithm>3</cavvAlgorithm></TX></PARes><Signature xmlns ""http //www.w3.org/2000/09/xmldsig#""><SignedInfo xmlns ""http //www.w3.org/2000/09/xmldsig#""><CanonicalizationMethod Algorithm ""http //www.w3.org/TR/2001/REC-xml-c14n-20010315""></CanonicalizationMethod><SignatureMethod Algorithm ""http //www.w3.org/2000/09/xmldsig#rsa-sha1""></SignatureMethod><Reference URI *{1,1} Algorithm ""http *{2,2} </SignatureValue><KeyInfo><X509Data><X509Certificate>MIID0DCCArigAwIBAgIQDnWi0on9T/1+uuoLdNVrOTANBgkqhkiG9w0BAQUFADCBhjELMAkGA1UEBhMCVVMxHTAbBgNVBAoTFE1hc3RlckNhcmQgV29ybGR3aWRlMS4wLAYDVQQLEyVNYXN0ZXJDYXJkIFdvcmxkd2lkZSBTZWN1cmVDb2RlIEdlbiAyMSgwJgYDVQQDEx9QUkQgTUMgU2VjdXJlQ29kZSBJc3N1ZXIgU3ViIENBMB4XDTE2MDYyMjE1MzQxNloXDTIwMDYyMTE1MzIzMlowTjELMAkGA1UEBhMCSU4xFjAUBgNVBAoTDUhERkMgQmFuayBMdGQxFTATBgNVBAsTDEhERkMgQmFuayBJVDEQMA4GA1UEAxMHTmV0U2FmZTCBnzANBgkqhkiG9w0BAQEFAAOBjQAwgYkCgYEA0rqR1cqZfbx5ALxV/0zV6i8CNinFQpMPrCiYA0LGnTTJ+AsHbN9zNGsd0qOt+HsHPKpmP8KP6o9hayPJ+BERhH5L1Qgce2I3ZKmDGhKf/bExEI603E1y2i0DllvFVkDObD9QOEkiplf5kC/s/BBSyfhNc6fmfydSU+sZ09hgxoMCAwEAAaOB9DCB8TCBpgYDVR0jBIGeMIGboYGGpIGDMIGAMQswCQYDVQQGEwJVUzEdMBsGA1UEChMUTWFzdGVyQ2FyZCBXb3JsZHdpZGUxLjAsBgNVBAsTJU1hc3RlckNhcmQgV29ybGR3aWRlIFNlY3VyZUNvZGUgR2VuIDIxIjAgBgNVBAMTGVBSRCBNQyBTZWN1cmVDb2RlIFJvb3QgQ0GCEENxAXw6Mx4Sqd6Zs3B6+mcwCQYDVR0TBAIwADAOBgNVHQ8BAf8EBAMCB4AwKwYDVR0QBCQwIoAPMjAxNjA2MjIxNTM0MTZagQ8yMDE5MDYyMjE1MzQxNlowDQYJKoZIhvcNAQEFBQADggEBAKn5bcvav6s117ys7h+4UgIAA7+at0BKY5fOjiQV2V8keTssRMIUfk1q/jG9YQdKZDpJTC/dKOq1zEYTlgwo0OitS2RWHICuSCk70xgBI6zVCxaEu8ZWwy78RCMppuFi7Im/6vMLYIJlgxoykt5YSU3ZE3P/+aNNXWqf5An5TrIE9eYHKEP4oJkvqYtD0/UCRIAeL5FD5OMGvfMnxE1C4tfkFvd/VvicEIe1xxIMPS1McYl13bVDY+AQ6oKrh6PpEQ6RYPcY+WmHnfUB0BOnmyfZNdx05TI9/vMOqlDewVhvGBpMWW/ntIvF37qUUtxl6Ai8esP0LtOvltkreGSSH30 </X509Certificate><X509Certificate>MIIEgDCCA2igAwIBAgIQQ3EBfDozHhKp3pmzcHr6ZzANBgkqhkiG9w0BAQUFADCBgDELMAkGA1UEBhMCVVMxHTAbBgNVBAoTFE1hc3RlckNhcmQgV29ybGR3aWRlMS4wLAYDVQQLEyVNYXN0ZXJDYXJkIFdvcmxkd2lkZSBTZWN1cmVDb2RlIEdlbiAyMSIwIAYDVQQDExlQUkQgTUMgU2VjdXJlQ29kZSBSb290IENBMB4XDTEyMDYyMjA5MjIxNFoXDTI1MDYyMTA5MjIxNVowgYYxCzAJBgNVBAYTAlVTMR0wGwYDVQQKExRNYXN0ZXJDYXJkIFdvcmxkd2lkZTEuMCwGA1UECxMlTWFzdGVyQ2FyZCBXb3JsZHdpZGUgU2VjdXJlQ29kZSBHZW4gMjEoMCYGA1UEAxMfUFJEIE1DIFNlY3VyZUNvZGUgSXNzdWVyIFN1YiBDQTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANaeBgfjTKIFls7ueMTzI2nYwAbocHwkQqd8BsIyJbZdk21E+vyq9EhX1NIoiAhP7fl+y/hosX66drjfrbyspZLalrVG6gYbdB2j2Sr8zBRQnMZKKluDwYv/266nnRBeyGYW3FwyVu8L1ACYQc04ACke+07NI/AZ8OXQSoeboEEGUO520/76o1cER5Ok9HRi0jJD8E64j8dEt36Mcg0JaKQiDjShlyTw4ABYyzZ1Vxl0/iDrfwboxNEOOooC0rcGNnCpISXMWn2NmZH1QxiFt2jIZ8QzF3/z+M3iYradh9uZauleNqJ9LPKr/aFFDbe0Bv0PLbvXOnFpwOxvJODWUj8CAwEAAaOB7TCB6jAPBgNVHRMECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUwTArnR3hR1+Ij1uxMtqoPBm2j7swgacGA1UdIwSBnzCBnKGBhqSBgzCBgDELMAkGA1UEBhMCVVMxHTAbBgNVBAoTFE1hc3RlckNhcmQgV29ybGR3aWRlMS4wLAYDVQQLEyVNYXN0ZXJDYXJkIFdvcmxkd2lkZSBTZWN1cmVDb2RlIEdlbiAyMSIwIAYDVQQDExlQUkQgTUMgU2VjdXJlQ29kZSBSb290IENBghEA7qGSrpcB0q8DkgwCPcT3kzANBgkqhkiG9w0BAQUFAAOCAQEA3lJuYVdiy11ELUfBfLuib4gPTbkDdVLBEKosx0yUDczeXoTUOjBEc90f5KRjbpe4pilOGAQnPNUGpi3ZClS+0ysTBp6RdYz1efNLSuaTJtpJpoCOk1/nw6W+nJEWyDXUcC/yVqstZidcOG6AMfKU4EC5zBNELZCGf1ynM2l+gwvkcDUv4Y2et/n/NqIKBzywGSOktojTma0kHbkAe6pj6i65TpwEgEpywVl50oMmNKvXDNMznrAG6S9us+OHDjonOlmmyWmQxXdU1MzwdKzPjHfwl+Z6kByDXruHjEcNsx7P2rUTm/Bt3SWW1K48VfNNhVa/WctTZGJCrV3Zjl6A9g </X509Certificate><X509Certificate>MIIDzzCCAregAwIBAgIRAO6hkq6XAdKvA5IMAj3E95MwDQYJKoZIhvcNAQEFBQAwgYAxCzAJBgNVBAYTAlVTMR0wGwYDVQQKExRNYXN0ZXJDYXJkIFdvcmxkd2lkZTEuMCwGA1UECxMlTWFzdGVyQ2FyZCBXb3JsZHdpZGUgU2VjdXJlQ29kZSBHZW4gMjEiMCAGA1UEAxMZUFJEIE1DIFNlY3VyZUNvZGUgUm9vdCBDQTAeFw0xMjA2MjIwOTA4MzBaFw0yNTA2MjIwOTA4MzFaMIGAMQswCQYDVQQGEwJVUzEdMBsGA1UEChMUTWFzdGVyQ2FyZCBXb3JsZHdpZGUxLjAsBgNVBAsTJU1hc3RlckNhcmQgV29ybGR3aWRlIFNlY3VyZUNvZGUgR2VuIDIxIjAgBgNVBAMTGVBSRCBNQyBTZWN1cmVDb2RlIFJvb3QgQ0EwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDptCms6aI22T9ST60k487SZP06TKbUBpom7Z1Bo8cQQAE/tM5UOt3THMdrhT+2aIkj9T0pA35IyNMCNGDt+ejhy7tHdw1r6eDX/KXYHb4FlemY03DwRrkQSH/L+ZueS5dCfLM3m2azxBXtrVXDdNebfht8tcWRLK2Ou6vjDzdIzunuWRZ6kRDQ6oc1LSVO2BxiFO0TKowJP/M7qWRT/Jsmb6TGg0vmmQG9QEpmVmOZIexVxuYy3rn7gEbV1tv3k4aG0USMp2Xq/Xe4qe+Ir7sFqR56G4yKezSVLUzQaIB/deeCk9WU2T0XmicAEYDBQoecoS61R4nj5ODmzwmGyxrlAgMBAAGjQjBAMA8GA1UdEwQIMAYBAf8CAQEwDgYDVR0PAQH/BAQDAgEGMB0GA1UdDgQWBBQqFTcxVDO/uxI1hpFF3VSSTFMGujANBgkqhkiG9w0BAQUFAAOCAQEAhDOQ5zUX2wByVv0Cqka3ebnm/6xRzQQbWelzneDUNVdctn1nhJt2PK1uGV7RBGAGukgdAubwwnBhD2FdbhBHTVbpLPYxBbdMAyeC8ezaXGirXOAAv0YbGhPl1MUFiDmqSliavBFUs4cEuBIas4BUoZ5Fz042dDSAWffbdf3l4zrU5Lzol93yXxxIjqgIsT3QI+sRM3gg/Gdwo80DUQ2fRffsGdAUH2C/8L8/wH+E9HspjMDkXlZohPII0xtKhdIPWzbOB6DOULl2PkdGHmJc4VXxfOwE2NJAQxmoaPRDYGgOFVvkzYtyxVkxXeXAPNt8URR3jfWvYrBGH2D5A44Atg </X509Certificate></X509Data></KeyInfo></Signature></Message></ThreeDSecure>",4,2
0ea74c1f,"201800851726467 *{1,2}",4,2
2e25db71,"*{1,5} Transaction *{0,2}",3,3
c2396be6,"*{1,1} http *{1,2}",3,3
