 	2016-06-02 12:35:56	Local7.Warning	10.246.64.12	2366: Jun  2 07:06:19.523: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi4/0/47
2016-06-02 12:35:58	Local7.Info	10.86.1.26	5377: Jun  2 07:06:20.661 UTC: %C4K_L2MAN-6-INVALIDSOURCEADDRESSPACKET: (Suppressed 3767 times)Packet received with invalid source MAC address (00:00:00:00:00:00) on port Gi1/3 in vlan 26
2016-06-02 12:36:02	Local7.Warning	10.31.1.22	27215: Jun  2 07:06:25.039 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex).
2016-06-02 12:36:02	Local7.Warning	10.31.1.22	27216: Jun  2 07:06:25.042 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex). (NBogota-Stack-S2-3)
2016-06-02 12:36:06	Local7.Warning	10.97.250.2	59142: Jun  2 07:06:27.982 UTC: %EARL_NETFLOW-DFC1-4-TCAM_THRLD: Netflow TCAM threshold exceeded, TCAM Utilization [99%]
2016-06-02 12:36:08	Local7.Error	10.92.224.53	29564: Jun  2 07:06:30.805: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to up
2016-06-02 12:36:08	Local7.Notice	10.92.224.53	29565: Jun  2 07:06:31.805: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to up
2016-06-02 12:36:11	Local7.Warning	10.246.64.12	2367: Jun  2 07:06:33.742: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi1/0/48 and port Gi3/0/47
2016-06-02 12:36:11	Local7.Warning	10.71.1.66	20652: Jun  2 07:06:33.906 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:36:12	Local7.Warning	10.31.1.21	29400: Jun  2 07:06:34.981 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex).
2016-06-02 12:36:12	Local7.Warning	10.31.1.21	29401: Jun  2 07:06:34.968 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex). (NBogota-Stack-S1-4)
2016-06-02 12:36:13	Local7.Warning	10.37.1.23	300149: Jun  2 07:06:35.261: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/19 and port Gi3/0/15
2016-06-02 12:36:25	Local7.Warning	10.246.64.12	2368: Jun  2 07:06:48.083: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi1/0/48 and port Gi2/0/48
2016-06-02 12:36:25	Local7.Warning	10.71.1.66	20653: Jun  2 07:06:47.924 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:36:35	Local7.Warning	10.37.1.23	300150: Jun  2 07:06:58.179: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/15 and port Gi3/0/22
2016-06-02 12:36:36	Local7.Notice	10.92.224.53	29566: Jun  2 07:06:59.201: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to down
2016-06-02 12:36:40	Local7.Error	10.92.224.53	29567: Jun  2 07:07:02.893: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to down
2016-06-02 12:36:41	Local7.Warning	10.71.1.66	20654: Jun  2 07:07:03.963 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:36:42	Local7.Warning	10.97.250.6	68878: Jun  2 07:07:03.710 UTC: %EARL_NETFLOW-DFC1-4-TCAM_THRLD: Netflow TCAM threshold exceeded, TCAM Utilization [98%]
2016-06-02 12:36:42	Local7.Warning	10.246.64.12	2369: Jun  2 07:07:05.304: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi3/0/47 and port Gi3/0/48
2016-06-02 12:36:43	Local7.Notice	10.88.1.15	386334: Jun  2 07:07:06.099: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/47, changed state to down
2016-06-02 12:36:44	Local7.Error	10.88.1.15	386335: Jun  2 07:07:07.113: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/47, changed state to down
2016-06-02 12:36:44	Local7.Notice	10.32.1.22	27371: Jun  2 07:07:07.364: %SFF8472-5-THRESHOLD_VIOLATION: Te1/0/2: Rx power low alarm; Operating value: -15.3 dBm, Threshold value: -12.4 dBm.
2016-06-02 12:36:45	Local7.Warning	10.243.175.254	415727: Jun  2 12:37:07 IST: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on FastEthernet3/72 (not half duplex), with SEP08CC6831D18A Port 1 (half duplex).
2016-06-02 12:36:47	Local7.Error	10.88.1.15	386336: Jun  2 07:07:10.119: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/47, changed state to up
2016-06-02 12:36:47	Local7.Notice	10.88.1.15	386337: Jun  2 07:07:11.119: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/47, changed state to up
2016-06-02 12:36:47	Local7.Warning	10.31.1.23	46450: Jun  2 06:37:56.676 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet1/0/34 (not full duplex), with north-bogota-ap2 GigabitEthernet0 (full duplex).
2016-06-02 12:36:54	Local7.Warning	10.246.64.12	2370: Jun  2 07:07:16.762: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi3/0/48 and port Gi4/0/48
2016-06-02 12:36:55	Local7.Warning	10.71.1.66	20655: Jun  2 07:07:17.980 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
